year,airportCode,City,averageFare,%YoYChange,%ChangeSince2015,2025Q2InflationAdjFare,%changeYoYInflationAdj,%changeSince2015InflationAdj
2015,SDY,Sidney,486.46,,0.00,659.48,,0.00
2016,SDY,Sidney,504.64,3.74,3.74,672.02,1.90,1.90
2017,SDY,Sidney,519.31,2.91,6.75,677.22,0.77,2.69
2018,SDY,Sidney,547.50,5.43,12.55,698.59,3.16,5.93
2019,SDY,Sidney,496.33,-9.35,2.03,620.68,-11.15,-5.88
2020,SDY,Sidney,357.22,-28.03,-26.57,441.25,-28.91,-33.09
2021,SDY,Sidney,563.85,57.84,15.91,652.81,47.95,-1.01
2022,SDY,Sidney,563.00,-0.15,15.73,608.61,-6.77,-7.71
2023,SDY,Sidney,686.89,22.01,41.20,719.21,18.17,9.06
2024,SDY,Sidney,607.33,-11.58,24.85,618.92,-13.94,-6.15
