year,time,averagePrice,%changeYoY,%changeSince2020,Q2InflationAdj2025,%changeYoYInflationAdj,%changeSince2020InflationAdj
2020,before,2.06,,0.00,2.54,,0.00
2020,after,2.07,,0.00,2.56,,0.00
2021,before,3.44,67.02,67.02,3.98,56.55,56.55
2021,after,3.44,66.09,66.09,3.98,55.68,55.68
2022,before,3.68,6.86,78.48,3.97,-0.23,56.19
2022,after,3.46,0.63,67.14,3.74,-6.05,46.27
2023,before,3.26,-11.32,58.27,3.41,-14.10,34.17
2023,after,3.13,-9.52,51.22,3.28,-12.36,28.19
2024,before,2.85,-12.49,38.51,2.91,-14.83,14.28
2024,after,2.79,-11.06,34.50,2.84,-13.44,10.97
